Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
34,CEA/TGCC-GENCI,"JOLIOT-CURIE SKL - Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR","79,488","4,065.6","6,635.5",917
35,Petroleum Geo-Services,"Abel - Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect","145,920","4,042.5","5,369.9","1,800"
36,ECMWF,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944.7","4,249.3","1,897"
37,ECMWF,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944.7","4,249.3","1,897"
38,Forschungszentrum Juelich (FZJ),"JURECA - T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40","155,150","3,782.6","6,563.8","1,345"
39,Indian Institute of Tropical Meteorology,"Pratyush - Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","119,232","3,763.9","4,006.2","1,353"
40,Government,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","72,800","3,577.0","6,131.8","1,499"
41,Government,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","72,800","3,577.0","6,131.8","1,499"
42,ERDC DSRC,"ONYX - Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2699v4, Aries interconnect","160,304","3,409.6","5,865.5",
43,NASA/Ames Research Center/NAS,"Electra - HPE SGI 8600, SGI ICE-X, Xeon E5-2680V4/Gold 6148 20C 2.4GHz, Infiniband EDR","78,336","3,328.6","4,777.6",980
44,ERDC DSRC,"Topaz - SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR","124,200","3,318.9","4,570.6","5,175"
45,Facebook,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100","60,512","3,307.0","4,896.5",350
46,NVIDIA Corporation,"DGX Saturn V - NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100","60,512","3,307.0","4,896.5",350
47,AWE,"Damson - Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","113,832","3,243.4","3,791.6","1,134"
48,Air Force Research Laboratory,"Mustang - HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path","55,296","3,221.4","4,777.6",
49,Eni S.p.A.,"HPC2 - iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","72,000","3,188.0","4,605.0","1,227"
50,Japan Aerospace eXploration Agency,"SORA-MA - Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","110,160","3,157.0","3,481.1","1,652"
51,Government,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect","225,984","3,143.5","4,881.3","6,328"
52,Air Force Research Laboratory,"Thunder - SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P","152,692","3,126.2","5,610.5","4,820"
53,SciNet/University of Toronto/Compute Canada,"Niagara - ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","60,000","3,074.2","4,608.0",676
